"filename", "language", "XML", "Ignore", "JSON with Comments", "TypeScript", "HTML", "pip requirements", "Markdown", "JSON", "JavaScript", "YAML", "CSS", "SCSS", "vue", "Python", "comment", "blank", "total"
"c:\Users\robot\Documents\GitHub\bakalauras\.idea\bakalauras.iml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\robot\Documents\GitHub\bakalauras\.idea\inspectionProfiles\profiles_settings.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\robot\Documents\GitHub\bakalauras\.idea\misc.xml", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\robot\Documents\GitHub\bakalauras\.idea\modules.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\robot\Documents\GitHub\bakalauras\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 32, 36, 248
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\.prettierignore", "Ignore", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\.prettierrc.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\.stylelintrc.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 15, 36
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\auto-imports.d.ts", "TypeScript", 0, 0, 0, 678, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 688
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\components.d.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 22
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\env.d.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\index.html", "HTML", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 54
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 11971, 0, 0, 0, 0, 0, 0, 0, 1, 11972
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 1, 95
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5602, 0, 0, 0, 0, 0, 1467, 7069
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\public\loader.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 13, 80
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\shims.d.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\components\MoreBtn.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\components\ThemeSwitcher.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 6, 34
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\components\cards\CardStatisticsHorizontal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 5, 54
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\components\cards\CardStatisticsVertical.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 9, 72
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\components\cards\CardStatisticsWithImages.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 8, 66
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\_components.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 11, 29, 192
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\_dark.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 4, 17
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\_default-layout-w-vertical-nav.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 14, 19, 104
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\_default-layout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\_index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 9, 11, 41
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\_layouts.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 22, 8, 64
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\_misc.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 2, 21
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 8, 11, 64
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\_utilities.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 17, 32, 185
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\_utils.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 14, 17, 91
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 47, 33, 199
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\_vertical-nav.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 23, 47, 260
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\libs\_perfect-scrollbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 7, 36
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\libs\vuetify\_index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\libs\vuetify\_overrides.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 47, 38, 258
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\libs\vuetify\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 13, 16, 65
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\placeholders\_default-layout-vertical-nav.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 5, 6, 46
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\placeholders\_default-layout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\placeholders\_index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\placeholders\_misc.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 1, 8
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\placeholders\_nav.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 7, 7, 34
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\base\placeholders\_vertical-nav.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 17, 12, 81
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\_default-layout-w-vertical-nav.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 5, 29
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 3, 13
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\_utilities.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 9, 52
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\_utils.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 26, 3, 42
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 15, 14, 57
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\_vertical-nav.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 7, 9, 52
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 4, 11
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\apex-chart.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 23, 108
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\_overrides.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 4, 6, 39
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 265, 0, 0, 28, 31, 324
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_alert.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 3, 17, 104
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_avatar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 5, 29
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_badge.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 2, 5, 36
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_button.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 0, 0, 11, 50, 272
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_cards.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_checkbox.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 2, 6, 43
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_chip.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 1, 21, 100
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_dialog.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 3, 13
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_expansion-panels.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 1, 7, 48
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_field.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 5, 9, 59
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_list.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 4, 23
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_menu.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 1, 7
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_otp-input.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 4, 19
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_pagination.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 3, 29, 173
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_progress.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 4
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_radio.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 1, 7, 48
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_rating.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 15
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_slider.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 5, 29
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_snackbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 2, 11
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_switch.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 11, 58
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_table.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 3, 37
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_tabs.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 2, 17, 114
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_textarea.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_timeline.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 1, 10, 53
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\_tooltip.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 2, 8
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\components\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\libs\vuetify\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\pages\misc.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 7, 37
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\pages\page-auth.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 11, 62
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\placeholders\_default-layout-vertical-nav.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 3, 12
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\placeholders\_index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\placeholders\_misc.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 1, 8
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\placeholders\_nav.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 5, 18
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\scss\template\placeholders\_vertical-nav.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 13, 17, 95
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\utils\colorConverter.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 36
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\utils\formatters.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\utils\helpers.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 33
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@core\utils\plugins.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 6, 55
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\components.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\components\TransitionExpand.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 1, 17, 93
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\components\VerticalNav.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 0, 2, 27, 188
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\components\VerticalNavGroup.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 8, 71
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\components\VerticalNavLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 179, 0, 0, 28, 207
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\components\VerticalNavLink.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 1, 4, 47
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\components\VerticalNavSectionTitle.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 2, 3, 21
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\enums.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\styles\_classes.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\styles\_default-layout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 2, 8, 36
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\styles\_global.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\styles\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 1, 4, 31
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\styles\_placeholders.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 8, 11, 54
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\styles\_rtl.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\styles\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 8, 8, 30
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\styles\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\types.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 60
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\@layouts\utils.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 18
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\robot\Documents\GitHub\bakalauras\Front\Frontend\src\assets\images\logo.svg", "XML", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
